Symbol,,,,,
MMM,"""",MMM,"""",",","""MMM"","
AOS,"""",AOS,"""",",","""AOS"","
ABT,"""",ABT,"""",",","""ABT"","
ABBV,"""",ABBV,"""",",","""ABBV"","
ABMD,"""",ABMD,"""",",","""ABMD"","
ACN,"""",ACN,"""",",","""ACN"","
ATVI,"""",ATVI,"""",",","""ATVI"","
ADM,"""",ADM,"""",",","""ADM"","
ADBE,"""",ADBE,"""",",","""ADBE"","
AAP,"""",AAP,"""",",","""AAP"","
AMD,"""",AMD,"""",",","""AMD"","
AES,"""",AES,"""",",","""AES"","
AFL,"""",AFL,"""",",","""AFL"","
A,"""",A,"""",",","""A"","
APD,"""",APD,"""",",","""APD"","
AKAM,"""",AKAM,"""",",","""AKAM"","
ALK,"""",ALK,"""",",","""ALK"","
ALB,"""",ALB,"""",",","""ALB"","
ARE,"""",ARE,"""",",","""ARE"","
ALGN,"""",ALGN,"""",",","""ALGN"","
ALLE,"""",ALLE,"""",",","""ALLE"","
LNT,"""",LNT,"""",",","""LNT"","
ALL,"""",ALL,"""",",","""ALL"","
GOOGL,"""",GOOGL,"""",",","""GOOGL"","
GOOG,"""",GOOG,"""",",","""GOOG"","
MO,"""",MO,"""",",","""MO"","
AMZN,"""",AMZN,"""",",","""AMZN"","
AMCR,"""",AMCR,"""",",","""AMCR"","
AEE,"""",AEE,"""",",","""AEE"","
AAL,"""",AAL,"""",",","""AAL"","
AEP,"""",AEP,"""",",","""AEP"","
AXP,"""",AXP,"""",",","""AXP"","
AIG,"""",AIG,"""",",","""AIG"","
AMT,"""",AMT,"""",",","""AMT"","
AWK,"""",AWK,"""",",","""AWK"","
AMP,"""",AMP,"""",",","""AMP"","
ABC,"""",ABC,"""",",","""ABC"","
AME,"""",AME,"""",",","""AME"","
AMGN,"""",AMGN,"""",",","""AMGN"","
APH,"""",APH,"""",",","""APH"","
ADI,"""",ADI,"""",",","""ADI"","
ANSS,"""",ANSS,"""",",","""ANSS"","
ANTM,"""",ANTM,"""",",","""ANTM"","
AON,"""",AON,"""",",","""AON"","
APA,"""",APA,"""",",","""APA"","
AAPL,"""",AAPL,"""",",","""AAPL"","
AMAT,"""",AMAT,"""",",","""AMAT"","
APTV,"""",APTV,"""",",","""APTV"","
ANET,"""",ANET,"""",",","""ANET"","
AJG,"""",AJG,"""",",","""AJG"","
AIZ,"""",AIZ,"""",",","""AIZ"","
T,"""",T,"""",",","""T"","
ATO,"""",ATO,"""",",","""ATO"","
ADSK,"""",ADSK,"""",",","""ADSK"","
ADP,"""",ADP,"""",",","""ADP"","
AZO,"""",AZO,"""",",","""AZO"","
AVB,"""",AVB,"""",",","""AVB"","
AVY,"""",AVY,"""",",","""AVY"","
BKR,"""",BKR,"""",",","""BKR"","
BLL,"""",BLL,"""",",","""BLL"","
BAC,"""",BAC,"""",",","""BAC"","
BBWI,"""",BBWI,"""",",","""BBWI"","
BAX,"""",BAX,"""",",","""BAX"","
BDX,"""",BDX,"""",",","""BDX"","
BRK.B,"""",BRK.B,"""",",","""BRK.B"","
BBY,"""",BBY,"""",",","""BBY"","
BIO,"""",BIO,"""",",","""BIO"","
BIIB,"""",BIIB,"""",",","""BIIB"","
BLK,"""",BLK,"""",",","""BLK"","
BK,"""",BK,"""",",","""BK"","
BA,"""",BA,"""",",","""BA"","
BKNG,"""",BKNG,"""",",","""BKNG"","
BWA,"""",BWA,"""",",","""BWA"","
BXP,"""",BXP,"""",",","""BXP"","
